v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
74.3	96.5	54.6	38.3	62.5	65.4	84.4	249.3	153.6	89.3
2.5	-1	-1	23.3	-1	25.2	-1	-1	124.8	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150.3	18.3	12.9	72.5	-1	50.3	10.6	73.3	28.8	85.4
394.3	190.4	382.3	311.9	171.8	372.3	950	376.3	672.2	349.5
58.3	70.4	118.9	86.2	195.2	30.2	105.6	132	96	104.8
84.4	54.8	25.7	54.7	15.6	15.1	21.1	102.6	28.8	42.7
55.7	60	19.3	30.1	7.8	40.2	42.2	39.1	38.4	62.1
4642.6	86.1	6.4	210.7	-1	75.5	-1	34.2	19.2	644.6
20.3	15.6	38.6	38.3	23.4	30.2	-1	19.6	48	15.5
17.7	15.6	16.1	32.8	62.5	50.3	-1	9.8	105.6	7.8
10.1	36.5	16.1	41	54.7	20.1	10.6	53.8	105.6	15.5
1.7	-1	3.2	-1	-1	30.2	21.1	4.9	38.4	7.8
13.5	-1	3.2	2.7	7.8	5	-1	-1	57.6	7.8
56.6	46.9	54.6	45.1	31.2	65.4	21.1	4.9	48	101
42.2	20.9	45	26	62.5	90.5	42.2	29.3	57.6	66
24.5	15.6	16.1	97.1	101.5	15.1	-1	14.7	105.6	50.5
