NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.1051	0.8	31.3	3.2	5.5	-1	25.2	-1	9.8	19.2	3.9
Hs.105102	-1	5.2	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105103	27	49.5	19.3	15	15.6	25.2	42.2	14.7	48	27.2
Hs.105105	65.9	75.6	28.9	39.7	46.8	70.4	52.8	19.6	67.2	31.1
Hs.105120	-1	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.105134	8.4	20.9	32.1	61.6	-1	10.1	-1	4.9	19.2	23.3
Hs.105147	-1	5.2	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.105153	1.7	18.3	3.2	2.7	-1	5	21.1	-1	-1	7.8
Hs.105191	11	13	12.9	38.3	-1	5	-1	14.7	9.6	11.6
Hs.105196	0.8	2.6	-1	5.5	-1	-1	-1	-1	9.6	-1
Hs.105268	2.5	2.6	3.2	-1	-1	-1	21.1	4.9	9.6	3.9
Hs.105269	84.4	26.1	93.2	62.9	15.6	55.3	190	73.3	57.6	93.2
Hs.105323	5.1	60	9.6	30.1	-1	35.2	-1	4.9	9.6	34.9
Hs.105324	2.5	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.105326	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.105352	10.1	36.5	3.2	23.3	-1	171	-1	127.1	9.6	-1
Hs.105379	4.2	2.6	3.2	19.2	-1	-1	-1	9.8	-1	27.2
Hs.105399	25.3	70.4	-1	30.1	23.4	45.3	52.8	29.3	9.6	23.3
Hs.105407	3.4	7.8	9.6	10.9	15.6	10.1	-1	4.9	9.6	7.8
Hs.105416	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105423	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105428	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105448	3.4	-1	3.2	2.7	-1	30.2	-1	-1	86.4	7.8
Hs.105460	106.4	18.3	41.8	104	78.1	161	10.6	117.3	134.4	147.5
Hs.105465	11	20.9	12.9	32.8	54.7	5	105.6	29.3	28.8	38.8
Hs.105473	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105547	108.1	26.1	22.5	93	46.8	35.2	-1	14.7	19.2	46.6
Hs.105551	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105570	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105575	1.7	-1	6.4	-1	7.8	-1	10.6	9.8	-1	11.6
Hs.105584	28.7	44.3	28.9	20.5	15.6	30.2	10.6	4.9	9.6	11.6
Hs.105606	7.6	2.6	12.9	2.7	-1	5	-1	4.9	48	58.2
Hs.105607	5.9	-1	3.2	2.7	-1	-1	-1	-1	9.6	3.9
Hs.105616	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105633	23.6	57.4	25.7	30.1	7.8	5	-1	48.9	67.2	7.8
Hs.105635	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.105636	0.8	2.6	-1	10.9	-1	20.1	10.6	14.7	19.2	11.6
Hs.105642	53.2	52.2	41.8	49.2	46.8	20.1	42.2	44	57.6	31.1
Hs.105653	-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.105685	14.4	10.4	3.2	17.8	-1	15.1	-1	4.9	9.6	23.3
Hs.105779	27	20.9	19.3	43.8	7.8	15.1	10.6	24.4	19.2	27.2
Hs.105791	3.4	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.105806	3.4	112.1	12.9	32.8	-1	110.7	-1	58.7	9.6	-1
Hs.105818	15.2	2.6	12.9	30.1	7.8	15.1	52.8	4.9	28.8	3.9
Hs.105821	0.8	-1	-1	-1	-1	-1	-1	-1	-1	3.9
Hs.105830	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.105887	1.7	-1	-1	17.8	15.6	35.2	10.6	78.2	19.2	163.1
Hs.105891	14.4	13	-1	23.3	7.8	25.2	-1	4.9	-1	7.8
Hs.105902	0.8	-1	-1	2.7	-1	-1	-1	-1	9.6	-1
Hs.105924	-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.105932	2.5	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.105940	4.2	2.6	12.9	8.2	-1	-1	-1	4.9	9.6	3.9
Hs.105941	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.105944	0.8	-1	-1	-1	-1	-1	-1	-1	-1	15.5
Hs.105956	16.9	57.4	25.7	45.1	31.2	20.1	21.1	39.1	76.8	38.8
Hs.105962	-1	-1	-1	1.4	-1	-1	-1	-1	9.6	-1
Hs.106005	11	7.8	22.5	36.9	7.8	20.1	21.1	24.4	67.2	19.4
Hs.106015	64.2	99.1	125.3	135.4	85.9	85.5	84.4	78.2	67.2	201.9
Hs.106019	56.6	70.4	45	46.5	85.9	70.4	84.4	68.4	76.8	42.7
Hs.106070	38	10.4	25.7	299.6	398.2	15.1	21.1	112.4	124.8	310.6
Hs.106124	218.7	20.9	9.6	12.3	15.6	25.2	63.3	14.7	48	46.6
Hs.106137	3.4	-1	-1	52	-1	25.2	-1	9.8	-1	-1
Hs.106185	105.5	57.4	57.8	42.4	31.2	65.4	-1	88	28.8	81.5
Hs.106212	-1	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.106234	12.7	-1	-1	-1	-1	-1	-1	-1	19.2	-1
Hs.106242	8.4	31.3	6.4	2.7	-1	50.3	42.2	4.9	48	15.5
